114.119.155.232 - - [16/Jan/2023:02:12:43 -0800] "GET /self.logs/error.log.2020-12-06 HTTP/1.1" 200 361 "http://www.secrepo.com/self.logs?C=N%3BO%3DD" "Mozilla/5.0 (Linux; Android 7.0;) AppleWebKit/537.36 (KHTML, like Gecko) Mobile Safari/537.36 (compatible; PetalBot;+https://webmaster.petalsearch.com/site/petalbot)" 
185.198.243.73 - - [16/Jan/2023:02:47:22 -0800] "HEAD /restore/backup.gz HTTP/1.1" 404 275 "-" "-" 
114.119.137.103 - - [16/Jan/2023:02:48:03 -0800] "GET /self.logs/access.log.2018-11-14.gz HTTP/1.1" 200 33295 "-" "Mozilla/5.0 (Linux; Android 7.0;) AppleWebKit/537.36 (KHTML, like Gecko) Mobile Safari/537.36 (compatible; PetalBot;+https://webmaster.petalsearch.com/site/petalbot)" 
45.86.202.142 - - [16/Jan/2023:02:48:39 -0800] "HEAD /backup/credentials.txt HTTP/1.1" 301 189 "-" "-" 
45.86.202.137 - - [16/Jan/2023:02:48:39 -0800] "HEAD /backup/credentials.txt HTTP/1.1" 404 275 "-" "-" 
64.64.123.54 - - [16/Jan/2023:02:48:50 -0800] "HEAD /restore/wallet.dat HTTP/1.1" 301 185 "-" "-" 
64.64.123.54 - - [16/Jan/2023:02:48:50 -0800] "HEAD /restore/wallet.dat HTTP/1.1" 404 275 "-" "-" 
45.128.199.111 - - [16/Jan/2023:02:49:24 -0800] "HEAD /backup/public_html.gz HTTP/1.1" 301 188 "-" "-" 
114.119.152.143 - - [16/Jan/2023:02:49:24 -0800] "GET /self.logs/access.log.2018-07-22.gz HTTP/1.1" 200 18879 "-" "Mozilla/5.0 (Linux; Android 7.0;) AppleWebKit/537.36 (KHTML, like Gecko) Mobile Safari/537.36 (compatible; PetalBot;+https://webmaster.petalsearch.com/site/petalbot)" 
45.128.199.111 - - [16/Jan/2023:02:49:24 -0800] "HEAD /backup/public_html.gz HTTP/1.1" 404 275 "-" "-" 
157.97.122.59 - - [16/Jan/2023:02:55:45 -0800] "HEAD /backups/www.tar.gz HTTP/1.1" 301 185 "-" "-" 
157.97.122.59 - - [16/Jan/2023:02:55:46 -0800] "HEAD /backups/www.tar.gz HTTP/1.1" 404 275 "-" "-" 
212.30.37.112 - - [16/Jan/2023:02:55:59 -0800] "HEAD /index.zip HTTP/1.1" 301 176 "-" "-" 
212.30.37.112 - - [16/Jan/2023:02:55:59 -0800] "HEAD /index.zip HTTP/1.1" 404 275 "-" "-" 
157.97.122.59 - - [16/Jan/2023:02:56:12 -0800] "HEAD /old/www.zip HTTP/1.1" 301 178 "-" "-" 
157.97.122.59 - - [16/Jan/2023:02:56:12 -0800] "HEAD /old/www.zip HTTP/1.1" 404 275 "-" "-" 
188.212.135.4 - - [16/Jan/2023:02:57:48 -0800] "HEAD /back/sql.sql HTTP/1.1" 301 179 "-" "-" 
188.212.135.4 - - [16/Jan/2023:02:57:49 -0800] "HEAD /back/sql.sql HTTP/1.1" 404 275 "-" "-" 
51.222.253.15 - - [16/Jan/2023:02:59:05 -0800] "GET / HTTP/1.1" 200 13152 "-" "Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/)" 
