60.10.199.42 - - [26/May/2024:08:09:57 -0700] "GET /twitter-icon.png HTTP/1.1" 200 27893 "http://www.secrepo.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36 Edg/125.0.0.0" 
60.10.199.42 - - [26/May/2024:08:09:57 -0700] "GET /GitHub-Mark.png HTTP/1.1" 200 7556 "http://www.secrepo.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36 Edg/125.0.0.0" 
40.77.167.32 - - [26/May/2024:08:12:33 -0700] "GET /self.logs/error.log.2021-02-20.gz HTTP/1.1" 200 1266 "-" "Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/116.0.1938.76 Safari/537.36" 
110.40.39.90 - - [26/May/2024:08:16:53 -0700] "GET /admin.php HTTP/1.1" 404 328 "http://www.secrepo.com/admin.php" "Mozilla/4.0 (compatible; MSIE 9.0; Windows NT 6.1)" 
107.20.105.74 - - [26/May/2024:08:17:47 -0700] "HEAD / HTTP/1.1" 301 186 "-" "DreamHost SiteMonitor 1.0" 
107.20.105.74 - - [26/May/2024:08:17:47 -0700] "HEAD / HTTP/1.1" 200 359 "http://67.205.24.129" "DreamHost SiteMonitor 1.0" 
66.249.64.104 - - [26/May/2024:08:21:55 -0700] "GET /robots.txt HTTP/1.1" 200 377 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)" 
66.249.64.105 - - [26/May/2024:08:21:55 -0700] "GET / HTTP/1.1" 200 13184 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)" 
66.249.64.105 - - [26/May/2024:08:21:57 -0700] "GET /css/style.css HTTP/1.1" 404 305 "http://www.secrepo.com/" "Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; Googlebot/2.1; +http://www.google.com/bot.html) Chrome/125.0.6422.66 Safari/537.36" 
110.40.39.90 - - [26/May/2024:08:25:39 -0700] "GET /apps/admin/view/default/layui/css/layui.css HTTP/1.1" 404 328 "http://www.secrepo.com/apps/admin/view/default/layui/css/layui.css" "Mozilla/4.0 (compatible; MSIE 9.0; Windows NT 6.1)" 
