219.150.59.58 - - [18/Nov/2022:03:20:34 -0800] "GET /auth.log/auth.log.gz HTTP/1.1" 200 347752 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.25 Safari/537.36" 
51.77.205.250 - - [18/Nov/2022:03:21:21 -0800] "GET /honeypot/BSidesDFW%20-%202014.ipynb HTTP/1.1" 301 481 "-" "Tornado-Async-Client" 
51.77.205.250 - - [18/Nov/2022:03:21:33 -0800] "GET /honeypot/js-agent.newrelic.com/nr-1216.min.js HTTP/1.1" 301 509 "-" "Tornado-Async-Client" 
51.77.205.250 - - [18/Nov/2022:03:21:34 -0800] "GET /honeypot/js-agent.newrelic.com/nr-1216.min.js HTTP/1.1" 404 284 "-" "Tornado-Async-Client" 
114.119.149.222 - - [18/Nov/2022:03:21:56 -0800] "GET /self.logs/error.log.2020-08-06 HTTP/1.1" 200 867 "http://www.secrepo.com/self.logs?C=N%3BO%3DD" "Mozilla/5.0 (Linux; Android 7.0;) AppleWebKit/537.36 (KHTML, like Gecko) Mobile Safari/537.36 (compatible; PetalBot;+https://webmaster.petalsearch.com/site/petalbot)" 
51.77.205.250 - - [18/Nov/2022:03:22:19 -0800] "GET /honeypot/moment.min.js HTTP/1.1" 301 463 "-" "Tornado-Async-Client" 
51.77.205.250 - - [18/Nov/2022:03:22:19 -0800] "GET /honeypot/moment.min.js HTTP/1.1" 404 284 "-" "Tornado-Async-Client" 
51.77.205.250 - - [18/Nov/2022:03:22:22 -0800] "GET /honeypot/bootstrap.min.js HTTP/1.1" 301 469 "-" "Tornado-Async-Client" 
51.77.205.250 - - [18/Nov/2022:03:22:22 -0800] "GET /honeypot/bootstrap.min.js HTTP/1.1" 404 250 "-" "Tornado-Async-Client" 
51.77.205.250 - - [18/Nov/2022:03:22:23 -0800] "GET /honeypot/headroom.js/dist/headroom.min.js HTTP/1.1" 301 501 "-" "Tornado-Async-Client" 
51.77.205.250 - - [18/Nov/2022:03:22:23 -0800] "GET /honeypot/headroom.js/dist/headroom.min.js HTTP/1.1" 404 250 "-" "Tornado-Async-Client" 
51.77.205.250 - - [18/Nov/2022:03:22:27 -0800] "GET /honeypot/headroom.js/dist/jQuery.headroom.min.js HTTP/1.1" 301 515 "-" "Tornado-Async-Client" 
51.77.205.250 - - [18/Nov/2022:03:22:27 -0800] "GET /honeypot/headroom.js/dist/jQuery.headroom.min.js HTTP/1.1" 404 250 "-" "Tornado-Async-Client" 
219.150.59.58 - - [18/Nov/2022:03:22:26 -0800] "GET /honeypot/BSidesDFW%20-%202014.ipynb HTTP/1.1" 200 496400 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.25 Safari/537.36" 
147.235.214.134 - - [18/Nov/2022:03:23:11 -0800] "GET /maccdc2012/dns.log.gz HTTP/1.1" 200 1746818 "http://www.secrepo.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36" 
147.235.214.134 - - [18/Nov/2022:03:23:11 -0800] "GET /maccdc2012/dns.log.gz HTTP/1.1" 206 2752424 "http://www.secrepo.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36" 
147.235.214.134 - - [18/Nov/2022:03:23:11 -0800] "GET /maccdc2012/dns.log.gz HTTP/1.1" 206 1521692 "http://www.secrepo.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36" 
147.235.214.134 - - [18/Nov/2022:03:23:11 -0800] "GET /maccdc2012/dns.log.gz HTTP/1.1" 206 1864425 "http://www.secrepo.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36" 
147.235.214.134 - - [18/Nov/2022:03:23:12 -0800] "GET /maccdc2012/dns.log.gz HTTP/1.1" 206 754216 "http://www.secrepo.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36" 
147.235.214.134 - - [18/Nov/2022:03:23:12 -0800] "GET /maccdc2012/dns.log.gz HTTP/1.1" 206 740169 "http://www.secrepo.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36" 
147.235.214.134 - - [18/Nov/2022:03:23:12 -0800] "GET /maccdc2012/dns.log.gz HTTP/1.1" 206 711737 "http://www.secrepo.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36" 
147.235.214.134 - - [18/Nov/2022:03:23:12 -0800] "GET /maccdc2012/dns.log.gz HTTP/1.1" 206 1422985 "http://www.secrepo.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36" 
147.235.214.134 - - [18/Nov/2022:03:23:13 -0800] "GET /maccdc2012/dns.log.gz HTTP/1.1" 206 78000 "http://www.secrepo.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36" 
147.235.214.134 - - [18/Nov/2022:03:23:12 -0800] "GET /maccdc2012/dns.log.gz HTTP/1.1" 206 1336425 "http://www.secrepo.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36" 
147.235.214.134 - - [18/Nov/2022:03:23:12 -0800] "GET /maccdc2012/dns.log.gz HTTP/1.1" 206 335160 "http://www.secrepo.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36" 
147.235.214.134 - - [18/Nov/2022:03:23:13 -0800] "GET /maccdc2012/dns.log.gz HTTP/1.1" 206 68036 "http://www.secrepo.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36" 
147.235.214.134 - - [18/Nov/2022:03:23:13 -0800] "GET /maccdc2012/dns.log.gz HTTP/1.1" 206 59847 "http://www.secrepo.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36" 
147.235.214.134 - - [18/Nov/2022:03:23:13 -0800] "GET /maccdc2012/dns.log.gz HTTP/1.1" 206 34262 "http://www.secrepo.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36" 
147.235.214.134 - - [18/Nov/2022:03:23:13 -0800] "GET /maccdc2012/dns.log.gz HTTP/1.1" 206 250500 "http://www.secrepo.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36" 
147.235.214.134 - - [18/Nov/2022:03:23:13 -0800] "GET /maccdc2012/dns.log.gz HTTP/1.1" 206 135584 "http://www.secrepo.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36" 
147.235.214.134 - - [18/Nov/2022:03:23:13 -0800] "GET /maccdc2012/dns.log.gz HTTP/1.1" 206 119207 "http://www.secrepo.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36" 
