103.83.81.175 - - [12/Apr/2023:03:25:43 -0700] "GET /wso112233.php HTTP/1.1" 429 430 "http://secrepo.com/wso112233.php" "Go-http-client/1.1" 
103.83.81.175 - - [12/Apr/2023:03:25:43 -0700] "GET /wsoyanzorng.php HTTP/1.1" 301 449 "-" "Go-http-client/1.1" 
103.83.81.175 - - [12/Apr/2023:03:25:43 -0700] "GET /wsoyanzorng.php HTTP/1.1" 429 430 "http://secrepo.com/wsoyanzorng.php" "Go-http-client/1.1" 
103.83.81.175 - - [12/Apr/2023:03:25:44 -0700] "GET //wp-content/uploads/ac_assets/IndoSec.php%20 HTTP/1.1" 301 501 "-" "Go-http-client/1.1" 
103.83.81.175 - - [12/Apr/2023:03:25:44 -0700] "GET /wp-content/uploads/ac_assets/IndoSec.php HTTP/1.1" 429 430 "http://secrepo.com//wp-content/uploads/ac_assets/IndoSec.php%20" "Go-http-client/1.1" 
183.94.106.60 - - [12/Apr/2023:03:29:16 -0700] "GET /auth.log/auth.log.gz HTTP/1.1" 200 615679 "https://link.csdn.net/?target=http%3A%2F%2Fwww.secrepo.com%2Fauth.log%2Fauth.log.gz" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36 Edg/112.0.1722.39" 
183.94.106.60 - - [12/Apr/2023:03:34:17 -0700] "GET / HTTP/1.1" 200 13186 "https://link.csdn.net/?target=http%3A%2F%2Fwww.secrepo.com%2F" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36 Edg/112.0.1722.39" 
183.94.106.60 - - [12/Apr/2023:03:34:17 -0700] "GET /css/style.css HTTP/1.1" 404 328 "http://www.secrepo.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36 Edg/112.0.1722.39" 
183.94.106.60 - - [12/Apr/2023:03:34:17 -0700] "GET /twitter-icon.png HTTP/1.1" 200 27893 "http://www.secrepo.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36 Edg/112.0.1722.39" 
183.94.106.60 - - [12/Apr/2023:03:34:17 -0700] "GET /GitHub-Mark.png HTTP/1.1" 200 7556 "http://www.secrepo.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36 Edg/112.0.1722.39" 
183.94.106.60 - - [12/Apr/2023:03:34:47 -0700] "GET /auth.log/auth.log.gz HTTP/1.1" 200 615679 "http://www.secrepo.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36 Edg/112.0.1722.39" 
183.94.106.60 - - [12/Apr/2023:03:34:48 -0700] "GET /bootstrap/img/favicon.ico HTTP/1.1" 200 713 "http://www.secrepo.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36 Edg/112.0.1722.39" 
43.138.212.72 - - [12/Apr/2023:03:34:50 -0700] "GET /xmlrpc.php HTTP/1.1" 404 328 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:45.0) Gecko/20100101 Firefox/45.0" 
49.7.20.111 - - [12/Apr/2023:03:37:46 -0700] "GET / HTTP/1.1" 200 13149 "-" "Sogou web spider/4.0(+http://www.sogou.com/docs/help/webmasters.htm#07)" 
52.167.144.93 - - [12/Apr/2023:03:39:28 -0700] "GET /self.logs/error.log.2017-11-30.gz HTTP/1.1" 200 2617 "-" "Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/103.0.5060.134 Safari/537.36" 
183.94.106.60 - - [12/Apr/2023:03:43:30 -0700] "GET /self.logs/ HTTP/1.1" 200 42369 "http://www.secrepo.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36 Edg/112.0.1722.39" 
183.94.106.60 - - [12/Apr/2023:03:43:43 -0700] "GET /favicon.ico HTTP/1.1" 200 368 "http://www.secrepo.com/self.logs/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36 Edg/112.0.1722.39" 
183.94.106.60 - - [12/Apr/2023:03:46:00 -0700] "GET /self.logs/access.log.2017-01-01.gz HTTP/1.1" 200 17678 "http://www.secrepo.com/self.logs/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36 Edg/112.0.1722.39" 
