46.232.120.33 - - [25/Jun/2023:01:50:20 -0700] "GET /bootstrap/img/favicon.ico HTTP/1.1" 304 226 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36 Edg/116.0.0.0" 
221.238.131.162 - - [25/Jun/2023:02:03:07 -0700] "GET /maccdc2012/http.log.gz HTTP/1.1" 206 515634 "http://www.secrepo.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36" 
221.238.131.162 - - [25/Jun/2023:02:02:43 -0700] "GET /maccdc2012/http.log.gz HTTP/1.1" 206 794654 "http://www.secrepo.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36" 
221.238.131.162 - - [25/Jun/2023:02:02:58 -0700] "GET /maccdc2012/http.log.gz HTTP/1.1" 206 629189 "http://www.secrepo.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36" 
221.238.131.162 - - [25/Jun/2023:02:02:29 -0700] "GET /maccdc2012/http.log.gz HTTP/1.1" 206 746060 "http://www.secrepo.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36" 
221.238.131.162 - - [25/Jun/2023:02:03:20 -0700] "GET /Security-Data-Analysis/Lab_1/conn.log.zip HTTP/1.1" 206 23775 "http://www.secrepo.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36" 
221.238.131.162 - - [25/Jun/2023:02:02:29 -0700] "GET /maccdc2012/http.log.gz HTTP/1.1" 206 1344660 "http://www.secrepo.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36" 
221.238.131.162 - - [25/Jun/2023:02:03:09 -0700] "GET /maccdc2012/http.log.gz HTTP/1.1" 206 456386 "http://www.secrepo.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36" 
221.238.131.162 - - [25/Jun/2023:02:03:18 -0700] "GET /maccdc2012/http.log.gz HTTP/1.1" 206 312853 "http://www.secrepo.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36" 
221.238.131.162 - - [25/Jun/2023:02:03:15 -0700] "GET /maccdc2012/http.log.gz HTTP/1.1" 206 392081 "http://www.secrepo.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36" 
221.238.131.162 - - [25/Jun/2023:02:03:06 -0700] "GET /maccdc2012/http.log.gz HTTP/1.1" 206 559603 "http://www.secrepo.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36" 
