66.249.70.64 - - [13/Apr/2024:03:58:18 -0700] "GET / HTTP/1.1" 301 475 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)" 
66.249.64.107 - - [13/Apr/2024:03:58:19 -0700] "GET / HTTP/1.1" 200 13187 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)" 
51.222.253.17 - - [13/Apr/2024:03:59:55 -0700] "GET /Datasets%20Description/HTML_Bro_log_3/ HTTP/1.1" 200 779 "-" "Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/)" 
23.235.160.114 - - [13/Apr/2024:04:11:56 -0700] "GET / HTTP/1.1" 200 13186 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4280.67 Safari/537.36 Edg/97.0.664.52" 
114.119.128.10 - - [13/Apr/2024:04:33:07 -0700] "GET /self.logs/error.log.2021-01-15 HTTP/1.1" 200 351 "http://www.secrepo.com/self.logs?C=N%3BO%3DD" "Mozilla/5.0 (Linux; Android 7.0;) AppleWebKit/537.36 (KHTML, like Gecko) Mobile Safari/537.36 (compatible; PetalBot;+https://webmaster.petalsearch.com/site/petalbot)" 
114.119.137.143 - - [13/Apr/2024:04:34:32 -0700] "GET /Datasets%20Description/PE_malware/Zeus.html HTTP/1.1" 200 1698 "http://www.secrepo.com/Datasets%20Description/PE_malware/?C=D%3BO%3DA" "Mozilla/5.0 (Linux; Android 7.0;) AppleWebKit/537.36 (KHTML, like Gecko) Mobile Safari/537.36 (compatible; PetalBot;+https://webmaster.petalsearch.com/site/petalbot)" 
188.166.212.75 - - [13/Apr/2024:04:36:19 -0700] "GET / HTTP/1.1" 301 475 "-" "Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.86 Safari/537.36" 
188.166.212.75 - - [13/Apr/2024:04:36:20 -0700] "GET //wp-includes/wlwmanifest.xml HTTP/1.1" 429 501 "-" "Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.86 Safari/537.36" 
188.166.212.75 - - [13/Apr/2024:04:36:20 -0700] "GET //xmlrpc.php?rsd HTTP/1.1" 429 500 "-" "Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.86 Safari/537.36" 
188.166.212.75 - - [13/Apr/2024:04:36:21 -0700] "GET / HTTP/1.1" 429 500 "-" "Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.86 Safari/537.36" 
188.166.212.75 - - [13/Apr/2024:04:36:21 -0700] "GET //blog/wp-includes/wlwmanifest.xml HTTP/1.1" 429 500 "-" "Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.86 Safari/537.36" 
188.166.212.75 - - [13/Apr/2024:04:36:22 -0700] "GET //web/wp-includes/wlwmanifest.xml HTTP/1.1" 429 500 "-" "Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.86 Safari/537.36" 
188.166.212.75 - - [13/Apr/2024:04:36:22 -0700] "GET //wordpress/wp-includes/wlwmanifest.xml HTTP/1.1" 429 500 "-" "Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.86 Safari/537.36" 
188.166.212.75 - - [13/Apr/2024:04:36:22 -0700] "GET //website/wp-includes/wlwmanifest.xml HTTP/1.1" 429 500 "-" "Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.86 Safari/537.36" 
188.166.212.75 - - [13/Apr/2024:04:36:23 -0700] "GET //wp/wp-includes/wlwmanifest.xml HTTP/1.1" 429 500 "-" "Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.86 Safari/537.36" 
188.166.212.75 - - [13/Apr/2024:04:36:23 -0700] "GET //news/wp-includes/wlwmanifest.xml HTTP/1.1" 429 500 "-" "Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.86 Safari/537.36" 
188.166.212.75 - - [13/Apr/2024:04:36:23 -0700] "GET //2015/wp-includes/wlwmanifest.xml HTTP/1.1" 429 500 "-" "Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.86 Safari/537.36" 
188.166.212.75 - - [13/Apr/2024:04:36:24 -0700] "GET //2016/wp-includes/wlwmanifest.xml HTTP/1.1" 429 500 "-" "Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.86 Safari/537.36" 
188.166.212.75 - - [13/Apr/2024:04:36:24 -0700] "GET //2017/wp-includes/wlwmanifest.xml HTTP/1.1" 429 500 "-" "Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.86 Safari/537.36" 
188.166.212.75 - - [13/Apr/2024:04:36:24 -0700] "GET //2018/wp-includes/wlwmanifest.xml HTTP/1.1" 429 500 "-" "Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.86 Safari/537.36" 
188.166.212.75 - - [13/Apr/2024:04:36:24 -0700] "GET //shop/wp-includes/wlwmanifest.xml HTTP/1.1" 429 500 "-" "Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.86 Safari/537.36" 
188.166.212.75 - - [13/Apr/2024:04:36:25 -0700] "GET //wp1/wp-includes/wlwmanifest.xml HTTP/1.1" 429 500 "-" "Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.86 Safari/537.36" 
188.166.212.75 - - [13/Apr/2024:04:36:25 -0700] "GET //test/wp-includes/wlwmanifest.xml HTTP/1.1" 429 500 "-" "Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.86 Safari/537.36" 
188.166.212.75 - - [13/Apr/2024:04:36:25 -0700] "GET //media/wp-includes/wlwmanifest.xml HTTP/1.1" 429 500 "-" "Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.86 Safari/537.36" 
188.166.212.75 - - [13/Apr/2024:04:36:26 -0700] "GET //wp2/wp-includes/wlwmanifest.xml HTTP/1.1" 429 500 "-" "Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.86 Safari/537.36" 
188.166.212.75 - - [13/Apr/2024:04:36:26 -0700] "GET //site/wp-includes/wlwmanifest.xml HTTP/1.1" 429 500 "-" "Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.86 Safari/537.36" 
188.166.212.75 - - [13/Apr/2024:04:36:26 -0700] "GET //cms/wp-includes/wlwmanifest.xml HTTP/1.1" 429 500 "-" "Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.86 Safari/537.36" 
188.166.212.75 - - [13/Apr/2024:04:36:27 -0700] "GET //sito/wp-includes/wlwmanifest.xml HTTP/1.1" 429 500 "-" "Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.86 Safari/537.36" 
