85.208.98.51 - - [21/Jul/2022:03:15:38 -0700] "GET /Datasets%20Description/Network/dhcp.html HTTP/1.1" 301 495 "-" "Mozilla/5.0 (compatible; SemrushBot-BM/1.0; +http://www.semrush.com/bot.html)" 
85.208.98.51 - - [21/Jul/2022:03:15:42 -0700] "GET /error.log.2020-06-15 HTTP/1.1" 301 459 "-" "Mozilla/5.0 (compatible; SemrushBot-BM/1.0; +http://www.semrush.com/bot.html)" 
85.208.98.51 - - [21/Jul/2022:03:16:07 -0700] "GET /error.log.2020-05-26 HTTP/1.1" 301 459 "-" "Mozilla/5.0 (compatible; SemrushBot-BM/1.0; +http://www.semrush.com/bot.html)" 
85.208.98.51 - - [21/Jul/2022:03:16:07 -0700] "GET /error.log.2020-05-26 HTTP/1.1" 404 284 "-" "Mozilla/5.0 (compatible; SemrushBot-BM/1.0; +http://www.semrush.com/bot.html)" 
85.208.98.51 - - [21/Jul/2022:03:16:20 -0700] "GET /error.log.2020-02-24 HTTP/1.1" 301 459 "-" "Mozilla/5.0 (compatible; SemrushBot-BM/1.0; +http://www.semrush.com/bot.html)" 
85.208.98.51 - - [21/Jul/2022:03:16:42 -0700] "GET /error.log.2020-03-28 HTTP/1.1" 301 459 "-" "Mozilla/5.0 (compatible; SemrushBot-BM/1.0; +http://www.semrush.com/bot.html)" 
85.208.98.51 - - [21/Jul/2022:03:16:42 -0700] "GET /error.log.2020-03-28 HTTP/1.1" 404 284 "-" "Mozilla/5.0 (compatible; SemrushBot-BM/1.0; +http://www.semrush.com/bot.html)" 
85.208.98.51 - - [21/Jul/2022:03:16:47 -0700] "GET /error.log.2020-11-07 HTTP/1.1" 301 459 "-" "Mozilla/5.0 (compatible; SemrushBot-BM/1.0; +http://www.semrush.com/bot.html)" 
85.208.98.51 - - [21/Jul/2022:03:16:47 -0700] "GET /error.log.2020-11-07 HTTP/1.1" 404 284 "-" "Mozilla/5.0 (compatible; SemrushBot-BM/1.0; +http://www.semrush.com/bot.html)" 
85.208.98.51 - - [21/Jul/2022:03:16:57 -0700] "GET /Datasets%20Description/Network/ftp.html HTTP/1.1" 301 493 "-" "Mozilla/5.0 (compatible; SemrushBot-BM/1.0; +http://www.semrush.com/bot.html)" 
85.208.98.51 - - [21/Jul/2022:03:17:06 -0700] "GET /error.log.2020-08-24 HTTP/1.1" 301 459 "-" "Mozilla/5.0 (compatible; SemrushBot-BM/1.0; +http://www.semrush.com/bot.html)" 
85.208.98.51 - - [21/Jul/2022:03:17:09 -0700] "GET /error.log.2020-08-24 HTTP/1.1" 404 284 "-" "Mozilla/5.0 (compatible; SemrushBot-BM/1.0; +http://www.semrush.com/bot.html)" 
85.208.98.51 - - [21/Jul/2022:03:17:16 -0700] "GET /error.log.2021-01-15 HTTP/1.1" 301 459 "-" "Mozilla/5.0 (compatible; SemrushBot-BM/1.0; +http://www.semrush.com/bot.html)" 
85.208.98.51 - - [21/Jul/2022:03:17:20 -0700] "GET /error.log.2021-01-15 HTTP/1.1" 404 284 "-" "Mozilla/5.0 (compatible; SemrushBot-BM/1.0; +http://www.semrush.com/bot.html)" 
85.208.98.51 - - [21/Jul/2022:03:17:26 -0700] "GET /error.log.2020-05-24 HTTP/1.1" 301 459 "-" "Mozilla/5.0 (compatible; SemrushBot-BM/1.0; +http://www.semrush.com/bot.html)" 
