52.81.67.84 - - [20/Jan/2024:03:45:04 -0800] "GET / HTTP/1.1" 301 438 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/554.45 (KHTML, like Gecko) Chrome/67.0.1548 Safari/537.36" 
52.81.67.84 - - [20/Jan/2024:03:45:04 -0800] "GET /favicon.ico HTTP/1.1" 200 354 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/556.36 (KHTML, like Gecko) Chrome/56.0.735 Safari/537.36" 
52.81.67.84 - - [20/Jan/2024:03:45:05 -0800] "GET /sitemap.xml HTTP/1.1" 404 291 "-" "Mozilla/5.0 (Windows NT 9_1; Win64; x64) AppleWebKit/543.39 (KHTML, like Gecko) Chrome/57.0.188 Safari/537.36" 
52.81.67.84 - - [20/Jan/2024:03:45:05 -0800] "GET /robots.txt HTTP/1.1" 200 340 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/555.43 (KHTML, like Gecko) Chrome/52.0.2675 Safari/537.36" 
52.81.67.84 - - [20/Jan/2024:03:45:06 -0800] "GET / HTTP/1.1" 200 13147 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/584.50 (KHTML, like Gecko) Chrome/93.0.252 Safari/537.36" 
52.81.67.84 - - [20/Jan/2024:03:45:07 -0800] "GET /bootstrap/img/favicon.ico HTTP/1.1" 200 676 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 8_2_2) AppleWebKit/542.43 (KHTML, like Gecko) Chrome/51.0.356 Safari/537.36" 
52.81.67.84 - - [20/Jan/2024:03:45:08 -0800] "GET /sitemap.xml HTTP/1.1" 404 291 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 9_2_2) AppleWebKit/575.38 (KHTML, like Gecko) Chrome/65.0.184 Safari/537.36" 
52.81.67.84 - - [20/Jan/2024:03:45:08 -0800] "GET /robots.txt HTTP/1.1" 200 340 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/560.53 (KHTML, like Gecko) Chrome/100.0.1068 Safari/537.36" 
52.81.67.84 - - [20/Jan/2024:03:45:10 -0800] "GET /bootstrap/img/favicon.ico HTTP/1.1" 200 676 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/581.46 (KHTML, like Gecko) Chrome/75.0.730 Safari/537.36" 
52.81.67.84 - - [20/Jan/2024:03:45:10 -0800] "GET /robots.txt HTTP/1.1" 200 340 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/545.54 (KHTML, like Gecko) Chrome/79.0.2 Safari/537.36" 
52.81.67.84 - - [20/Jan/2024:03:45:10 -0800] "GET /sitemap.xml HTTP/1.1" 404 291 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/578.36 (KHTML, like Gecko) Chrome/82.0.1812 Safari/537.36" 
52.81.67.84 - - [20/Jan/2024:03:45:14 -0800] "GET /axis2-admin/ HTTP/1.1" 404 291 "-" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.116 Safari/537.36" 
52.81.67.84 - - [20/Jan/2024:03:45:15 -0800] "GET /axis2/ HTTP/1.1" 404 291 "-" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.116 Safari/537.36" 
52.81.67.84 - - [20/Jan/2024:03:45:15 -0800] "GET /axis2/axis2-admin/ HTTP/1.1" 404 291 "-" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.116 Safari/537.36" 
52.81.67.84 - - [20/Jan/2024:03:45:16 -0800] "GET /axis2-admin/ HTTP/1.1" 404 291 "-" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.116 Safari/537.36" 
52.81.67.84 - - [20/Jan/2024:03:45:16 -0800] "GET /axis2/ HTTP/1.1" 404 291 "-" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.116 Safari/537.36" 
52.81.67.84 - - [20/Jan/2024:03:45:17 -0800] "GET /axis2/axis2-admin/ HTTP/1.1" 404 291 "-" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.116 Safari/537.36" 
88.216.2.82 - - [20/Jan/2024:03:46:50 -0800] "GET /robots.txt HTTP/1.0" 301 458 "-" "Mozilla/4.0 (compatible; fluid/0.0; +http://www.leak.info/bot.html)" 
207.46.13.125 - - [20/Jan/2024:03:47:29 -0800] "GET /self.logs/error.log.2022-02-26.gz HTTP/1.1" 200 1576 "-" "Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/116.0.1938.76 Safari/537.36" 
124.248.67.160 - - [20/Jan/2024:03:51:40 -0800] "GET / HTTP/1.1" 200 13184 "http://www.secrepo.com" "Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; InfoPath.3; .NET4.0C; .NET4.0E)" 
3.221.137.102 - - [20/Jan/2024:03:56:54 -0800] "GET /robots.txt HTTP/1.1" 301 495 "-" "amazon-kendra-customer-id-7ef387b590a0d017bc16c423aea2f621571da58fc7df8dcdd606efa762000bb4c50f08bf94cd1257be3c70d6f1976cb9" 
