194.187.171.130 - - [14/Jan/2021:02:41:56 -0800] "GET / HTTP/1.1" 200 12838 "-" "Qwantify/1.0" 
194.187.171.135 - - [14/Jan/2021:02:41:56 -0800] "GET /bootstrap/img/favicon.ico HTTP/1.1" 200 669 "-" "Qwantify/1.0" 
114.119.140.84 - - [14/Jan/2021:02:45:25 -0800] "GET /self.logs/error.log.2018-09-26.gz HTTP/1.1" 200 5450 "-" "Mozilla/5.0 (Linux; Android 7.0;) AppleWebKit/537.36 (KHTML, like Gecko) Mobile Safari/537.36 (compatible; PetalBot;+https://aspiegel.com/petalbot)" 
114.119.157.43 - - [14/Jan/2021:02:50:31 -0800] "GET /self.logs/2015/error.log.2015-09-13.gz HTTP/1.1" 200 845 "-" "Mozilla/5.0 (Linux; Android 7.0;) AppleWebKit/537.36 (KHTML, like Gecko) Mobile Safari/537.36 (compatible; PetalBot;+https://aspiegel.com/petalbot)" 
114.119.140.84 - - [14/Jan/2021:02:55:37 -0800] "GET /self.logs/error.log.2017-03-15.gz HTTP/1.1" 200 1007 "-" "Mozilla/5.0 (Linux; Android 7.0;) AppleWebKit/537.36 (KHTML, like Gecko) Mobile Safari/537.36 (compatible; PetalBot;+https://aspiegel.com/petalbot)" 
114.119.144.30 - - [14/Jan/2021:03:00:43 -0800] "GET /self.logs/access.log.2019-10-17.gz HTTP/1.1" 200 19408 "-" "Mozilla/5.0 (Linux; Android 7.0;) AppleWebKit/537.36 (KHTML, like Gecko) Mobile Safari/537.36 (compatible; PetalBot;+https://aspiegel.com/petalbot)" 
165.225.92.213 - - [14/Jan/2021:03:03:16 -0800] "GET / HTTP/1.1" 301 475 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36" 
165.225.92.213 - - [14/Jan/2021:03:03:17 -0800] "GET / HTTP/1.1" 200 12859 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36" 
165.225.92.213 - - [14/Jan/2021:03:03:19 -0800] "GET /css/style.css HTTP/1.1" 404 328 "http://www.secrepo.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36" 
165.225.92.213 - - [14/Jan/2021:03:03:19 -0800] "GET /twitter-icon.png HTTP/1.1" 200 27916 "http://www.secrepo.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36" 
165.225.92.213 - - [14/Jan/2021:03:03:19 -0800] "GET /GitHub-Mark.png HTTP/1.1" 200 7556 "http://www.secrepo.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36" 
165.225.92.213 - - [14/Jan/2021:03:03:23 -0800] "GET /bootstrap/img/favicon.ico HTTP/1.1" 200 713 "http://www.secrepo.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36" 
114.119.144.30 - - [14/Jan/2021:03:06:15 -0800] "GET /self.logs/error.log.2018-03-20.gz HTTP/1.1" 200 4628 "-" "Mozilla/5.0 (Linux; Android 7.0;) AppleWebKit/537.36 (KHTML, like Gecko) Mobile Safari/537.36 (compatible; PetalBot;+https://aspiegel.com/petalbot)" 
114.119.140.84 - - [14/Jan/2021:03:10:55 -0800] "GET /self.logs/error.log.2019-10-16.gz HTTP/1.1" 200 816 "-" "Mozilla/5.0 (Linux; Android 7.0;) AppleWebKit/537.36 (KHTML, like Gecko) Mobile Safari/537.36 (compatible; PetalBot;+https://aspiegel.com/petalbot)" 
114.119.155.228 - - [14/Jan/2021:03:16:01 -0800] "GET /self.logs/access.log.2020-04-11.gz HTTP/1.1" 200 14285 "-" "Mozilla/5.0 (Linux; Android 7.0;) AppleWebKit/537.36 (KHTML, like Gecko) Mobile Safari/537.36 (compatible; PetalBot;+https://aspiegel.com/petalbot)" 
114.119.140.84 - - [14/Jan/2021:03:21:07 -0800] "GET /self.logs/access.log.2018-09-25.gz HTTP/1.1" 200 24659 "-" "Mozilla/5.0 (Linux; Android 7.0;) AppleWebKit/537.36 (KHTML, like Gecko) Mobile Safari/537.36 (compatible; PetalBot;+https://aspiegel.com/petalbot)" 
114.119.157.43 - - [14/Jan/2021:03:26:13 -0800] "GET /self.logs/error.log.2017-05-31.gz HTTP/1.1" 200 1038 "-" "Mozilla/5.0 (Linux; Android 7.0;) AppleWebKit/537.36 (KHTML, like Gecko) Mobile Safari/537.36 (compatible; PetalBot;+https://aspiegel.com/petalbot)" 
114.119.155.228 - - [14/Jan/2021:03:31:20 -0800] "GET /self.logs/access.log.2020-12-31.gz HTTP/1.1" 200 29531 "-" "Mozilla/5.0 (Linux; Android 7.0;) AppleWebKit/537.36 (KHTML, like Gecko) Mobile Safari/537.36 (compatible; PetalBot;+https://aspiegel.com/petalbot)" 
47.242.79.201 - - [14/Jan/2021:03:33:21 -0800] "GET /honeypot/honeypot.json.zip HTTP/1.1" 200 23086050 "https://my.oschina.net/u/4330033/blog/4550982" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.111 Safari/537.36" 
114.119.155.228 - - [14/Jan/2021:03:36:25 -0800] "GET /self.logs/access.log.2020-01-14.gz HTTP/1.1" 200 17737 "-" "Mozilla/5.0 (Linux; Android 7.0;) AppleWebKit/537.36 (KHTML, like Gecko) Mobile Safari/537.36 (compatible; PetalBot;+https://aspiegel.com/petalbot)" 
114.119.150.248 - - [14/Jan/2021:03:41:31 -0800] "GET /self.logs/error.log.2018-08-16.gz HTTP/1.1" 200 10456 "-" "Mozilla/5.0 (Linux; Android 7.0;) AppleWebKit/537.36 (KHTML, like Gecko) Mobile Safari/537.36 (compatible; PetalBot;+https://aspiegel.com/petalbot)" 
54.36.148.18 - - [14/Jan/2021:03:41:34 -0800] "GET /self.logs/access.log.2019-08-30.gz HTTP/1.1" 200 16215 "-" "Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/)" 
54.36.148.96 - - [14/Jan/2021:03:46:35 -0800] "GET /Datasets%20Description/HTML_Bro_log_2/?C=N;O=D HTTP/1.1" 200 788 "-" "Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/)" 
114.119.159.101 - - [14/Jan/2021:03:46:37 -0800] "GET /self.logs/error.log.2017-04-15.gz HTTP/1.1" 200 863 "-" "Mozilla/5.0 (Linux; Android 7.0;) AppleWebKit/537.36 (KHTML, like Gecko) Mobile Safari/537.36 (compatible; PetalBot;+https://aspiegel.com/petalbot)" 
212.227.215.32 - - [14/Jan/2021:03:46:56 -0800] "GET / HTTP/1.1" 200 12882 "-" "python-requests/2.25.1" 
195.123.209.118 - - [14/Jan/2021:03:47:06 -0800] "GET / HTTP/1.1" 200 48020 "https://vacuumcleanerguru.com/" "Opera/9.00 (Windows NT 5.1; U; en)" 
195.123.209.118 - - [14/Jan/2021:03:47:07 -0800] "GET / HTTP/1.1" 200 48020 "https://vacuumcleanerguru.com/" "Opera/9.00 (Windows NT 5.1; U; en)" 
195.123.209.118 - - [14/Jan/2021:03:47:08 -0800] "GET / HTTP/1.1" 200 48020 "https://vacuumcleanerguru.com/" "Opera/9.00 (Windows NT 5.1; U; en)" 
54.36.149.62 - - [14/Jan/2021:03:49:33 -0800] "GET /self.logs/access.log.2021-01-09.gz HTTP/1.1" 200 28404 "-" "Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/)" 
114.119.159.101 - - [14/Jan/2021:03:51:44 -0800] "GET /self.logs/error.log.2020-03-25.gz HTTP/1.1" 200 866 "-" "Mozilla/5.0 (Linux; Android 7.0;) AppleWebKit/537.36 (KHTML, like Gecko) Mobile Safari/537.36 (compatible; PetalBot;+https://aspiegel.com/petalbot)" 
54.36.149.62 - - [14/Jan/2021:03:52:15 -0800] "GET /self.logs/access.log.2021-01-10.gz HTTP/1.1" 200 25671 "-" "Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/)" 
54.36.149.62 - - [14/Jan/2021:03:54:29 -0800] "GET /self.logs/error.log.2021-01-08.gz HTTP/1.1" 200 932 "-" "Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/)" 
40.77.167.13 - - [14/Jan/2021:03:55:28 -0800] "GET /Datasets%20Description/HTML_Bro_log_2/dhcp.html HTTP/1.1" 200 1737 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)" 
40.77.167.13 - - [14/Jan/2021:03:55:28 -0800] "GET /self.logs/access.log.2017-02-20.gz HTTP/1.1" 301 543 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)" 
54.36.148.18 - - [14/Jan/2021:03:56:23 -0800] "GET /self.logs/error.log.2021-01-09 HTTP/1.1" 200 307 "-" "Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/)" 
114.119.159.40 - - [14/Jan/2021:03:56:51 -0800] "GET /self.logs/access.log.2017-05-13.gz HTTP/1.1" 200 14908 "-" "Mozilla/5.0 (Linux; Android 7.0;) AppleWebKit/537.36 (KHTML, like Gecko) Mobile Safari/537.36 (compatible; PetalBot;+https://aspiegel.com/petalbot)" 
54.36.148.239 - - [14/Jan/2021:03:57:52 -0800] "GET /self.logs/error.log.2021-01-10.gz HTTP/1.1" 200 930 "-" "Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/)" 
114.119.155.228 - - [14/Jan/2021:04:01:58 -0800] "GET /self.logs/2015/error.log.2015-05-28.gz HTTP/1.1" 200 768 "-" "Mozilla/5.0 (Linux; Android 7.0;) AppleWebKit/537.36 (KHTML, like Gecko) Mobile Safari/537.36 (compatible; PetalBot;+https://aspiegel.com/petalbot)" 
114.119.159.40 - - [14/Jan/2021:04:07:05 -0800] "GET /self.logs/error.log.2017-09-26.gz HTTP/1.1" 200 9196 "-" "Mozilla/5.0 (Linux; Android 7.0;) AppleWebKit/537.36 (KHTML, like Gecko) Mobile Safari/537.36 (compatible; PetalBot;+https://aspiegel.com/petalbot)" 
183.198.48.17 - - [14/Jan/2021:04:12:10 -0800] "GET /favicon.ico HTTP/1.1" 200 391 "-" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36" 
114.119.144.30 - - [14/Jan/2021:04:12:10 -0800] "GET /self.logs/error.log.2019-10-02.gz HTTP/1.1" 200 1685 "-" "Mozilla/5.0 (Linux; Android 7.0;) AppleWebKit/537.36 (KHTML, like Gecko) Mobile Safari/537.36 (compatible; PetalBot;+https://aspiegel.com/petalbot)" 
54.36.148.168 - - [14/Jan/2021:04:13:52 -0800] "GET / HTTP/1.1" 200 12838 "-" "Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/)" 
114.119.141.53 - - [14/Jan/2021:04:17:17 -0800] "GET /self.logs/error.log.2018-12-29.gz HTTP/1.1" 200 5084 "-" "Mozilla/5.0 (Linux; Android 7.0;) AppleWebKit/537.36 (KHTML, like Gecko) Mobile Safari/537.36 (compatible; PetalBot;+https://aspiegel.com/petalbot)" 
114.119.141.53 - - [14/Jan/2021:04:22:23 -0800] "GET /self.logs/error.log.2018-02-04.gz HTTP/1.1" 200 4799 "-" "Mozilla/5.0 (Linux; Android 7.0;) AppleWebKit/537.36 (KHTML, like Gecko) Mobile Safari/537.36 (compatible; PetalBot;+https://aspiegel.com/petalbot)" 
114.119.141.53 - - [14/Jan/2021:04:27:29 -0800] "GET /self.logs/access.log.2020-02-03.gz HTTP/1.1" 200 10661 "-" "Mozilla/5.0 (Linux; Android 7.0;) AppleWebKit/537.36 (KHTML, like Gecko) Mobile Safari/537.36 (compatible; PetalBot;+https://aspiegel.com/petalbot)" 
114.119.159.101 - - [14/Jan/2021:04:32:34 -0800] "GET /self.logs/error.log.2019-05-18.gz HTTP/1.1" 200 6394 "-" "Mozilla/5.0 (Linux; Android 7.0;) AppleWebKit/537.36 (KHTML, like Gecko) Mobile Safari/537.36 (compatible; PetalBot;+https://aspiegel.com/petalbot)" 
40.77.167.13 - - [14/Jan/2021:04:33:38 -0800] "GET /self.logs/access.log.2020-06-25.gz HTTP/1.1" 304 280 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)" 
114.119.159.40 - - [14/Jan/2021:04:37:41 -0800] "GET /self.logs/error.log.2018-07-31.gz HTTP/1.1" 200 9169 "-" "Mozilla/5.0 (Linux; Android 7.0;) AppleWebKit/537.36 (KHTML, like Gecko) Mobile Safari/537.36 (compatible; PetalBot;+https://aspiegel.com/petalbot)" 
