154.54.249.15 - - [08/Mar/2024:02:58:27 -0800] "GET /self.logs/error.log.2020-10-10 HTTP/1.0" 200 314 "-" "Mozilla/5.0 (compatible; Barkrowler/0.9; +https://babbar.tech/crawler)" 
154.54.249.161 - - [08/Mar/2024:02:59:18 -0800] "GET /self.logs/error.log.2019-07-15 HTTP/1.0" 200 23147 "-" "Mozilla/5.0 (compatible; Barkrowler/0.9; +https://babbar.tech/crawler)" 
154.54.249.160 - - [08/Mar/2024:03:00:11 -0800] "GET /self.logs/error.log.2019-10-22 HTTP/1.0" 200 314 "-" "Mozilla/5.0 (compatible; Barkrowler/0.9; +https://babbar.tech/crawler)" 
154.54.249.160 - - [08/Mar/2024:03:00:36 -0800] "GET /self.logs/error.log.2019-12-08 HTTP/1.0" 200 314 "-" "Mozilla/5.0 (compatible; Barkrowler/0.9; +https://babbar.tech/crawler)" 
154.54.249.161 - - [08/Mar/2024:03:01:01 -0800] "GET /self.logs/error.log.2019-08-08 HTTP/1.0" 200 1312 "-" "Mozilla/5.0 (compatible; Barkrowler/0.9; +https://babbar.tech/crawler)" 
154.54.249.162 - - [08/Mar/2024:03:01:26 -0800] "GET /self.logs/error.log.2022-01-03 HTTP/1.0" 200 84428 "-" "Mozilla/5.0 (compatible; Barkrowler/0.9; +https://babbar.tech/crawler)" 
140.207.18.25 - - [08/Mar/2024:03:01:34 -0800] "GET /Security-Data-Analysis/Lab_1/conn.log.zip HTTP/1.1" 200 79002 "-" "Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; WOW64; Trident/6.0; WebView/1.0)" 
140.207.18.25 - - [08/Mar/2024:03:01:35 -0800] "GET /Security-Data-Analysis/Lab_1/conn.log.zip HTTP/1.1" 206 79002 "-" "Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; WOW64; Trident/6.0; WebView/1.0)" 
140.207.18.25 - - [08/Mar/2024:03:01:36 -0800] "GET /Security-Data-Analysis/Lab_1/conn.log.zip HTTP/1.1" 206 79002 "-" "Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; WOW64; Trident/6.0; WebView/1.0)" 
140.207.18.25 - - [08/Mar/2024:03:01:37 -0800] "GET /Security-Data-Analysis/Lab_1/conn.log.zip HTTP/1.1" 206 79002 "-" "Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; WOW64; Trident/6.0; WebView/1.0)" 
140.207.18.25 - - [08/Mar/2024:03:01:38 -0800] "GET /Security-Data-Analysis/Lab_1/conn.log.zip HTTP/1.1" 206 79002 "-" "Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; WOW64; Trident/6.0; WebView/1.0)" 
140.207.18.25 - - [08/Mar/2024:03:01:38 -0800] "GET /Security-Data-Analysis/Lab_1/conn.log.zip HTTP/1.1" 206 79002 "-" "Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; WOW64; Trident/6.0; WebView/1.0)" 
154.54.249.163 - - [08/Mar/2024:03:01:52 -0800] "GET /self.logs/error.log.2022-05-01 HTTP/1.0" 200 3915 "-" "Mozilla/5.0 (compatible; Barkrowler/0.9; +https://babbar.tech/crawler)" 
154.54.249.15 - - [08/Mar/2024:03:02:17 -0800] "GET /self.logs/error.log.2022-05-05 HTTP/1.0" 200 314 "-" "Mozilla/5.0 (compatible; Barkrowler/0.9; +https://babbar.tech/crawler)" 
154.54.249.163 - - [08/Mar/2024:03:02:42 -0800] "GET /self.logs/error.log.2022-04-06 HTTP/1.0" 200 314 "-" "Mozilla/5.0 (compatible; Barkrowler/0.9; +https://babbar.tech/crawler)" 
154.54.249.15 - - [08/Mar/2024:03:03:08 -0800] "GET /self.logs/error.log.2022-02-15 HTTP/1.0" 200 314 "-" "Mozilla/5.0 (compatible; Barkrowler/0.9; +https://babbar.tech/crawler)" 
154.54.249.163 - - [08/Mar/2024:03:03:33 -0800] "GET /self.logs/error.log.2022-04-20 HTTP/1.0" 200 314 "-" "Mozilla/5.0 (compatible; Barkrowler/0.9; +https://babbar.tech/crawler)" 
154.54.249.15 - - [08/Mar/2024:03:03:58 -0800] "GET /self.logs/error.log.2022-04-16 HTTP/1.0" 200 314 "-" "Mozilla/5.0 (compatible; Barkrowler/0.9; +https://babbar.tech/crawler)" 
154.54.249.163 - - [08/Mar/2024:03:04:24 -0800] "GET /self.logs/error.log.2022-01-28 HTTP/1.0" 200 314 "-" "Mozilla/5.0 (compatible; Barkrowler/0.9; +https://babbar.tech/crawler)" 
154.54.249.162 - - [08/Mar/2024:03:04:49 -0800] "GET /self.logs/error.log.2021-11-19 HTTP/1.0" 200 314 "-" "Mozilla/5.0 (compatible; Barkrowler/0.9; +https://babbar.tech/crawler)" 
